density,total_population,countyfips,cancer,binge,csmoking,lpa,sleep
94.3,56059,1001,6.5,15.0,19.7,32.2,38.4
141.8,225463,1003,6.7,19.0,19.9,27.6,36.4
27.8,24575,1005,6.2,13.7,27.8,41.6,40.9
36.0,22427,1007,6.5,15.6,25.2,37.7,40.1
89.9,57997,1009,6.7,15.7,22.2,33.3,38.8
16.2,10096,1011,5.8,13.2,25.2,41.3,44.7
25.0,19424,1013,6.3,13.2,24.6,40.7,42.0
187.7,113714,1015,6.6,15.3,22.6,32.6,38.3
55.8,33275,1017,6.4,13.8,23.6,36.9,40.5
47.6,26346,1019,6.7,15.6,24.7,36.0,37.9
64.3,44525,1021,6.5,15.1,23.9,35.3,38.7
13.8,12574,1023,6.3,13.6,24.6,37.8,41.7
19.0,23592,1025,6.2,13.4,25.0,39.6,42.7
21.9,13250,1027,6.6,14.8,25.6,37.1,38.9
26.7,14941,1029,6.8,15.8,23.8,33.6,38.2
77.4,52521,1031,6.4,15.1,20.7,33.3,37.4
93.4,55354,1033,6.6,15.5,21.5,33.2,39.8
14.2,12050,1035,6.2,13.2,25.1,39.5,43.9
16.4,10687,1037,6.4,14.8,23.7,34.8,41.2
36.0,37134,1039,6.8,14.8,24.7,35.6,37.7
22.7,13798,1041,6.5,14.6,24.0,35.6,38.6
114.4,84084,1043,6.7,16.4,23.4,33.6,36.5
87.5,49102,1045,6.4,14.8,22.0,32.9,40.8
37.8,36960,1047,6.0,12.3,24.3,41.2,44.0
92.2,71651,1049,6.6,14.1,25.0,40.5,38.8
132.0,81661,1051,6.6,15.5,20.4,33.1,38.8
38.9,36768,1053,6.4,13.9,24.6,39.1,42.9
191.4,102381,1055,6.7,14.7,23.5,33.9,38.8
26.0,16311,1057,6.7,15.0,24.5,35.4,39.8
49.5,31353,1059,6.5,14.9,22.8,37.2,38.8
45.8,26333,1061,6.7,14.9,25.2,35.4,38.0
12.5,8096,1063,5.8,10.8,28.2,45.9,47.8
22.7,14647,1065,6.2,13.0,25.8,39.5,43.3
30.8,17283,1067,6.5,15.3,22.5,34.9,39.7
183.1,106174,1069,6.6,14.1,21.7,35.9,39.8
48.0,51745,1071,6.8,15.3,24.1,35.7,39.6
592.9,658926,1073,6.3,15.2,17.6,30.4,39.7
22.8,13811,1075,6.7,15.3,25.0,37.1,38.8
139.2,92926,1077,6.7,16.0,20.5,30.1,38.5
47.8,32984,1079,6.7,15.2,25.6,35.0,38.5
272.2,165375,1081,6.5,14.5,18.4,29.2,38.9
178.3,99825,1083,6.5,15.4,20.7,31.0,38.7
13.5,9686,1085,5.9,11.6,25.6,42.8,46.4
29.6,18031,1087,5.8,11.8,23.0,38.6,44.5
467.8,374983,1089,6.4,15.9,16.1,27.8,37.8
19.3,18832,1091,6.2,13.5,23.9,39.8,43.3
40.1,29782,1093,6.8,15.7,24.3,34.2,38.4
171.4,96982,1095,6.7,14.1,22.3,36.2,37.9
336.2,413330,1097,6.4,15.0,21.4,32.1,40.5
20.2,20697,1099,6.3,13.8,25.3,41.2,42.7
288.1,225904,1101,6.1,13.8,20.1,31.9,42.8
206.9,119864,1103,6.5,14.6,20.6,31.2,36.4
12.4,8905,1105,6.0,11.3,25.4,43.4,45.0
22.6,19928,1107,6.3,14.0,23.4,38.3,41.8
49.3,33118,1109,6.4,13.7,20.6,33.8,41.3
39.2,22779,1111,6.6,14.6,23.3,34.7,38.4
90.6,58095,1113,6.3,13.5,21.7,36.3,42.7
142.4,90004,1115,6.8,17.3,23.1,31.8,37.4
278.4,218514,1117,6.6,15.1,15.3,23.6,32.6
13.7,12396,1119,5.9,11.8,23.2,39.5,44.3
108.6,80019,1121,6.5,13.5,25.0,36.0,41.7
56.4,40416,1123,6.5,14.7,23.6,36.6,40.0
158.9,210089,1125,6.5,15.5,20.2,31.3,41.8
80.5,63655,1127,6.6,14.7,25.9,36.2,40.7
15.1,16314,1129,6.5,13.8,24.6,38.1,39.6
11.7,10364,1131,6.0,11.4,27.5,44.1,44.1
38.6,23651,1133,6.7,15.1,26.3,37.7,38.8
0.5,3335,2013,5.3,15.1,19.5,28.1,38.9
1.3,5623,2016,5.4,17.1,16.8,23.8,35.9
168.4,287009,2020,6.0,18.2,15.3,20.5,34.4
0.5,18348,2050,6.7,15.6,34.9,32.6,38.5
1.6,831,2060,6.6,18.7,21.2,21.6,34.1
0.2,2101,2068,6.4,18.7,17.8,19.9,31.7
0.3,4905,2070,6.7,16.9,30.7,27.7,37.7
13.1,96444,2090,6.3,17.5,17.6,22.2,32.8
1.1,2524,2100,6.6,18.9,17.9,19.6,31.3
0.3,2146,2105,6.4,17.9,22.7,23.6,35.2
11.8,31981,2110,6.4,18.9,15.1,16.7,33.7
3.7,58806,2122,6.6,18.4,19.9,22.0,34.4
2.9,13928,2130,6.4,19.4,19.5,21.5,32.1
2.0,12896,2150,5.8,17.1,16.5,23.0,34.0
0.5,8280,2158,6.7,14.7,43.0,38.2,42.5
0.1,1581,2164,6.6,16.7,29.3,28.3,37.6
4.4,108894,2170,6.4,17.5,19.8,23.9,33.4
0.4,9945,2180,6.6,17.2,30.8,28.8,37.9
0.1,9821,2185,6.3,19.1,24.1,23.7,34.4
0.2,7564,2188,6.6,16.4,34.3,29.2,40.3
1.0,3258,2195,6.4,19.8,18.1,20.5,33.1
1.6,6186,2198,6.5,17.8,25.6,24.8,35.6
3.0,8497,2220,6.4,18.8,17.2,20.1,31.0
2.6,1182,2230,6.5,19.3,16.8,20.2,30.7
0.3,6867,2240,6.5,18.6,20.9,23.0,32.2
0.3,9196,2261,6.4,20.2,17.1,20.2,31.0
1.0,2491,2275,6.5,18.4,21.4,22.3,34.5
0.1,577,2282,6.4,18.0,22.5,23.0,36.1
0.0,5195,2290,6.7,17.9,30.9,27.4,39.1
6.4,72068,4001,6.4,14.5,23.9,29.4,39.6
20.4,125866,4003,6.1,16.7,17.6,27.2,34.5
7.8,144552,4005,6.3,17.7,18.1,20.5,32.6
11.4,54198,4007,6.5,18.5,19.8,27.2,39.7
8.4,39011,4009,5.9,17.2,17.4,30.2,36.2
5.2,9493,4011,5.5,17.6,15.2,26.7,35.2
4.7,21195,4012,6.1,15.8,19.5,31.5,39.1
490.5,4512331,4013,6.2,15.9,14.3,24.8,35.0
16.1,213678,4015,6.4,17.8,21.0,31.1,39.3
11.2,111160,4017,6.4,14.0,20.7,28.4,36.8
114.6,1052466,4019,5.9,16.8,14.3,23.4,34.9
87.1,467550,4021,6.1,18.1,17.4,31.2,39.8
37.6,46451,4023,5.0,15.2,14.5,32.1,34.7
29.2,237378,4025,6.3,16.6,17.2,24.4,32.7
38.8,214121,4027,5.6,15.6,15.1,29.7,33.8
17.7,17468,5001,6.4,14.1,23.7,33.6,35.6
21.2,19602,5003,6.3,14.3,24.2,35.7,37.0
76.2,42212,5005,6.7,16.5,22.3,27.9,32.3
331.7,281073,5007,6.3,15.6,16.4,26.5,32.8
63.6,37552,5009,6.8,15.2,22.6,33.6,34.8
16.6,10800,5011,6.1,13.3,22.6,37.3,38.0
8.3,5221,5013,6.4,15.0,23.3,34.4,37.4
45.2,28510,5015,6.4,14.6,20.2,32.6,34.6
15.6,10063,5017,6.0,12.6,25.2,38.9,41.2
25.7,22280,5019,6.5,14.9,20.5,32.2,36.3
22.8,14558,5021,6.7,15.0,25.0,35.3,35.6
45.1,24967,5023,6.6,16.1,24.4,32.2,34.3
13.3,7949,5025,6.6,15.1,23.9,34.9,35.7
30.6,23424,5027,6.3,14.1,24.4,37.0,39.0
37.9,20908,5029,6.5,15.3,23.2,32.4,35.2
156.8,110860,5031,6.6,14.5,21.6,33.1,35.1
107.0,63436,5033,6.6,15.5,22.7,33.4,34.6
78.5,47837,5035,6.2,12.9,23.9,37.8,40.1
26.6,16401,5037,6.4,14.5,24.6,34.8,37.1
10.5,6995,5039,6.2,13.8,23.5,35.8,38.1
14.7,11324,5041,6.1,11.9,26.2,40.5,40.4
22.0,18244,5043,6.4,13.9,21.5,33.6,37.3
195.0,126340,5045,6.6,15.1,20.0,32.5,35.7
29.2,17763,5047,6.6,14.6,26.1,35.3,36.4
20.3,12550,5049,6.8,14.5,26.0,35.4,36.2
147.5,99945,5051,6.6,16.0,21.0,31.8,35.3
29.0,18332,5053,6.7,15.8,21.3,30.4,34.1
78.7,45465,5055,6.6,15.9,23.8,33.5,34.0
29.6,21504,5057,6.2,13.4,22.4,37.9,37.0
55.1,33867,5059,6.5,15.4,22.7,31.8,35.2
22.5,13225,5061,6.3,13.5,21.7,36.8,38.1
49.6,37914,5063,6.5,15.1,22.4,32.8,34.3
23.6,13679,5065,6.6,15.9,24.0,32.1,35.4
26.4,16722,5067,6.5,13.9,26.5,38.7,38.1
76.4,66485,5069,6.0,12.5,24.0,37.2,40.2
40.4,26672,5071,6.4,14.1,24.8,38.1,36.7
12.5,6612,5073,6.2,13.1,26.0,38.6,39.0
27.9,16415,5075,6.7,15.2,24.0,34.0,36.0
14.7,8831,5077,5.9,13.5,25.4,38.5,41.2
23.3,13081,5079,6.3,15.2,24.8,36.0,39.9
23.1,12275,5081,6.5,14.2,22.9,34.8,38.0
30.4,21501,5083,6.6,14.5,23.8,35.2,37.4
95.6,73667,5085,6.6,15.3,21.2,30.1,34.6
20.0,16674,5087,6.7,14.4,24.4,34.5,36.1
28.2,16821,5089,6.6,15.4,22.9,31.6,34.5
69.3,43325,5091,6.5,14.1,22.2,34.2,37.5
44.9,40449,5093,6.3,13.6,25.4,39.3,40.6
11.0,6680,5095,6.3,13.3,25.9,39.3,39.5
11.6,9025,5097,6.7,14.3,25.0,34.5,35.1
13.4,8258,5099,6.3,14.1,23.0,34.5,38.7
9.5,7771,5101,6.7,15.5,22.0,30.4,36.0
31.9,23384,5103,6.3,13.7,24.2,37.4,39.5
19.0,10478,5105,6.7,15.2,23.8,33.7,36.5
25.4,17639,5107,6.0,11.3,25.8,41.1,40.1
17.9,10736,5109,6.6,15.1,22.8,33.9,35.5
31.0,23537,5111,6.7,14.4,25.6,35.8,36.1
23.3,20000,5113,6.7,13.4,24.5,33.8,36.7
79.2,64342,5115,6.5,14.5,20.8,33.1,33.7
12.4,8057,5117,6.6,15.0,23.2,32.8,36.6
516.2,392189,5119,6.3,14.0,19.6,29.6,40.3
