density,total_population,countyfips,cancer,access,checkup,dental,bpmed,cholscreen,mammouse,cervical,colon_screen,corem,corew
94.3,56059,1001,6.5,16.0,77.0,64.0,61.8,87.0,77.5,86.4,69.5,28.1,26.5
141.8,225463,1003,6.7,14.6,73.3,66.3,58.6,87.0,74.0,87.3,67.5,29.0,28.7
27.8,24575,1005,6.2,24.5,77.6,46.6,65.9,85.5,75.9,84.1,62.1,21.8,22.9
36.0,22427,1007,6.5,20.2,75.8,57.6,63.6,85.4,73.3,84.8,65.7,24.7,24.8
89.9,57997,1009,6.7,19.8,74.8,57.1,61.0,85.2,71.5,84.1,63.9,25.4,24.8
16.2,10096,1011,5.8,25.7,78.5,46.6,66.8,86.9,76.7,85.3,61.3,20.2,19.8
25.0,19424,1013,6.3,20.2,77.9,49.4,66.2,86.5,73.4,84.9,62.3,22.5,21.0
187.7,113714,1015,6.6,17.9,75.2,56.9,62.5,86.3,72.3,85.4,64.1,24.8,22.3
55.8,33275,1017,6.4,19.5,76.9,54.2,65.0,86.7,74.8,85.2,62.5,24.3,22.2
47.6,26346,1019,6.7,18.0,74.3,55.8,61.0,84.6,71.0,83.8,62.3,26.0,24.2
64.3,44525,1021,6.5,20.8,73.7,57.3,62.1,85.1,72.0,84.4,65.9,24.8,21.9
13.8,12574,1023,6.3,19.8,77.8,51.9,65.5,86.3,75.0,84.7,61.2,22.7,23.3
19.0,23592,1025,6.2,20.5,77.7,52.3,65.6,86.6,74.9,84.1,62.0,22.4,22.7
21.9,13250,1027,6.6,20.5,74.7,53.8,62.7,84.4,73.9,84.0,62.1,24.6,22.4
26.7,14941,1029,6.8,18.0,73.7,57.9,60.6,84.8,72.1,83.9,64.2,25.0,23.5
77.4,52521,1031,6.4,17.8,76.2,59.2,61.0,86.6,75.8,85.3,66.5,27.0,25.2
93.4,55354,1033,6.6,17.3,76.6,57.3,61.8,86.2,73.6,85.3,65.0,26.4,23.7
14.2,12050,1035,6.2,21.3,78.1,47.0,65.5,86.5,72.2,83.9,59.6,20.5,20.3
16.4,10687,1037,6.4,19.8,76.0,53.2,63.9,86.2,73.6,84.8,62.5,23.3,23.7
36.0,37134,1039,6.8,17.7,74.7,56.0,63.0,85.5,74.0,84.6,66.3,27.0,26.8
22.7,13798,1041,6.5,18.9,76.2,52.8,63.3,85.9,73.0,84.3,65.3,25.3,22.4
114.4,84084,1043,6.7,18.1,72.8,56.8,61.1,84.7,74.3,84.4,63.1,26.5,25.7
87.5,49102,1045,6.4,19.1,75.8,60.0,63.2,86.6,75.0,85.9,66.6,25.7,24.4
37.8,36960,1047,6.0,21.2,80.8,43.5,67.2,87.9,76.8,85.6,59.7,20.5,19.9
92.2,71651,1049,6.6,24.0,72.5,51.1,61.5,84.3,69.9,81.6,60.2,23.2,21.6
132.0,81661,1051,6.6,16.1,76.7,64.6,62.1,87.6,77.0,86.5,66.9,27.3,26.2
38.9,36768,1053,6.4,20.6,76.5,49.4,65.4,85.8,71.9,83.5,61.3,22.4,21.0
191.4,102381,1055,6.7,17.9,75.5,57.4,62.3,86.0,75.4,84.6,66.4,23.4,22.8
26.0,16311,1057,6.7,18.6,75.0,55.8,62.7,84.9,74.3,84.1,64.0,24.8,26.0
49.5,31353,1059,6.5,23.7,73.9,55.0,61.2,85.0,72.7,83.7,63.5,24.7,24.9
45.8,26333,1061,6.7,19.8,72.4,52.0,61.3,84.6,70.5,83.6,62.5,26.2,21.6
12.5,8096,1063,5.8,25.1,80.3,42.1,69.6,86.9,76.2,84.3,61.0,19.0,19.3
22.7,14647,1065,6.2,21.2,78.4,53.0,67.0,86.9,77.3,85.4,61.3,21.6,20.1
30.8,17283,1067,6.5,18.6,76.1,55.8,63.1,86.4,75.9,85.4,65.7,24.6,24.8
183.1,106174,1069,6.6,17.8,76.5,57.4,62.3,86.9,75.3,85.4,68.3,24.9,23.2
48.0,51745,1071,6.8,18.6,74.4,55.7,61.6,84.7,71.1,83.9,62.7,24.3,22.7
592.9,658926,1073,6.3,16.4,79.2,62.4,64.1,89.0,81.8,88.3,69.3,27.2,27.8
22.8,13811,1075,6.7,18.6,73.7,53.0,62.7,84.6,73.5,83.7,63.2,25.0,25.5
139.2,92926,1077,6.7,16.0,75.0,58.8,60.5,86.5,73.3,85.4,66.5,28.7,25.0
47.8,32984,1079,6.7,18.8,74.7,54.6,61.6,85.0,72.4,84.5,63.6,25.6,23.1
