CountyFIPS,Density,ruralUrban
1001,94.3,Rural
1003,141.8,Rural
1005,27.8,Rural
1007,36.0,Rural
1009,89.9,Rural
1011,16.2,Rural
1013,25.0,Rural
1015,187.7,Rural
1017,55.8,Rural
1019,47.6,Rural
1021,64.3,Rural
1023,13.8,Rural
1025,19.0,Rural
1027,21.9,Rural
1029,26.7,Rural
1031,77.4,Rural
1033,93.4,Rural
1035,14.2,Rural
1037,16.4,Rural
1039,36.0,Rural
1041,22.7,Rural
1043,114.4,Rural
1045,87.5,Rural
1047,37.8,Rural
1049,92.2,Rural
1051,132.0,Rural
1053,38.9,Rural
1055,191.4,Rural
1057,26.0,Rural
1059,49.5,Rural
1061,45.8,Rural
1063,12.5,Rural
1065,22.7,Rural
1067,30.8,Rural
1069,183.1,Rural
1071,48.0,Rural
1073,592.9,Urban
1075,22.8,Rural
1077,139.2,Rural
1079,47.8,Rural
1081,272.2,Rural
1083,178.3,Rural
1085,13.5,Rural
1087,29.6,Rural
1089,467.8,Rural
1091,19.3,Rural
1093,40.1,Rural
1095,171.4,Rural
1097,336.2,Rural
1099,20.2,Rural
1101,288.1,Rural
1103,206.9,Rural
1105,12.4,Rural
1107,22.6,Rural
1109,49.3,Rural
1111,39.2,Rural
1113,90.6,Rural
1115,142.4,Rural
1117,278.4,Rural
1119,13.7,Rural
1121,108.6,Rural
1123,56.4,Rural
1125,158.9,Rural
1127,80.5,Rural
1129,15.1,Rural
1131,11.7,Rural
1133,38.6,Rural
2013,0.5,Rural
2016,1.3,Rural
2020,168.4,Rural
2050,0.5,Rural
2060,1.6,Rural
2068,0.2,Rural
2070,0.3,Rural
2090,13.1,Rural
2100,1.1,Rural
2105,0.3,Rural
2110,11.8,Rural
2122,3.7,Rural
2130,2.9,Rural
2150,2.0,Rural
2158,0.5,Rural
2164,0.1,Rural
2170,4.4,Rural
2180,0.4,Rural
2185,0.1,Rural
2188,0.2,Rural
2195,1.0,Rural
2198,1.6,Rural
2220,3.0,Rural
2230,2.6,Rural
2240,0.3,Rural
2261,0.3,Rural
2275,1.0,Rural
2282,0.1,Rural
2290,0.0,Rural
4001,6.4,Rural
4003,20.4,Rural
4005,7.8,Rural
4007,11.4,Rural
4009,8.4,Rural
4011,5.2,Rural
4012,4.7,Rural
4013,490.5,Rural
4015,16.1,Rural
4017,11.2,Rural
4019,114.6,Rural
4021,87.1,Rural
4023,37.6,Rural
4025,29.2,Rural
4027,38.8,Rural
5001,17.7,Rural
5003,21.2,Rural
5005,76.2,Rural
5007,331.7,Rural
5009,63.6,Rural
5011,16.6,Rural
5013,8.3,Rural
5015,45.2,Rural
5017,15.6,Rural
5019,25.7,Rural
5021,22.8,Rural
5023,45.1,Rural
5025,13.3,Rural
5027,30.6,Rural
5029,37.9,Rural
5031,156.8,Rural
5033,107.0,Rural
5035,78.5,Rural
5037,26.6,Rural
5039,10.5,Rural
5041,14.7,Rural
5043,22.0,Rural
5045,195.0,Rural
5047,29.2,Rural
5049,20.3,Rural
5051,147.5,Rural
5053,29.0,Rural
5055,78.7,Rural
5057,29.6,Rural
5059,55.1,Rural
5061,22.5,Rural
5063,49.6,Rural
5065,23.6,Rural
5067,26.4,Rural
5069,76.4,Rural
5071,40.4,Rural
5073,12.5,Rural
5075,27.9,Rural
5077,14.7,Rural
5079,23.3,Rural
5081,23.1,Rural
5083,30.4,Rural
5085,95.6,Rural
5087,20.0,Rural
5089,28.2,Rural
5091,69.3,Rural
5093,44.9,Rural
5095,11.0,Rural
5097,11.6,Rural
5099,13.4,Rural
5101,9.5,Rural
5103,31.9,Rural
5105,19.0,Rural
5107,25.4,Rural
5109,17.9,Rural
5111,31.0,Rural
5113,23.3,Rural
5115,79.2,Rural
5117,12.4,Rural
5119,516.2,Urban
5121,27.7,Rural
5123,39.1,Rural
5125,170.4,Rural
5127,11.5,Rural
5129,11.9,Rural
5131,240.7,Rural
5133,30.1,Rural
5135,29.1,Rural
5137,20.7,Rural
5139,37.2,Rural
5141,23.4,Rural
5143,254.9,Rural
5145,76.3,Rural
5147,10.7,Rural
5149,23.0,Rural
6001,2261.3,Urban
6003,1.5,Rural
6005,67.5,Rural
6007,133.9,Rural
6009,45.1,Rural
6011,18.8,Rural
6013,1613.5,Urban
6015,27.8,Rural
6017,113.5,Rural
6019,168.1,Rural
6021,21.7,Rural
6023,38.1,Rural
6025,43.3,Rural
6027,1.8,Rural
6029,111.1,Rural
6031,110.5,Rural
6033,51.4,Rural
6035,6.7,Rural
6037,2474.4,Urban
6039,73.9,Rural
6041,497.8,Rural
6043,11.9,Rural
6045,24.8,Rural
6047,144.3,Rural
6049,2.3,Rural
6051,4.7,Rural
6053,132.5,Rural
6055,184.4,Rural
6057,104.6,Rural
6059,4019.8,Urban
6061,285.3,Rural
6063,7.4,Rural
6065,344.7,Rural
6067,1613.9,Urban
6069,45.6,Rural
6071,109.0,Rural
6073,795.1,Urban
6075,18825.8,Urban
6077,550.2,Urban
6079,86.1,Rural
6081,1707.9,Urban
6083,163.6,Rural
6085,1491.6,Urban
6087,614.4,Urban
6089,47.9,Rural
6091,3.2,Rural
6093,7.0,Rural
6095,546.5,Urban
6097,313.8,Rural
6099,369.7,Rural
6101,161.5,Rural
6103,22.1,Rural
6105,3.8,Rural
6107,96.8,Rural
6109,24.7,Rural
6111,459.6,Rural
6113,218.0,Rural
6115,125.3,Rural
8001,444.8,Rural
8003,22.7,Rural
8005,824.0,Urban
8007,10.5,Rural
8009,1.4,Rural
8011,3.7,Rural
8013,450.8,Rural
8014,2143.6,Urban
8015,20.2,Rural
8017,1.0,Rural
8019,24.6,Rural
8021,6.4,Rural
8023,3.2,Rural
8025,7.8,Rural
8027,6.9,Rural
8029,27.5,Rural
8031,4767.0,Urban
8033,1.9,Rural
8035,420.5,Rural
8037,32.8,Rural
8039,14.5,Rural
8041,340.8,Rural
8043,31.3,Rural
8045,20.4,Rural
8047,42.0,Rural
8049,8.5,Rural
8051,5.4,Rural
8053,0.7,Rural
8055,4.4,Rural
8057,0.9,Rural
8059,765.1,Urban
8061,0.8,Rural
8063,3.3,Rural
8065,21.7,Rural
8067,33.4,Rural
8069,138.4,Rural
8071,3.1,Rural
8073,2.2,Rural
8075,12.1,Rural
8077,46.6,Rural
8079,0.9,Rural
8081,2.8,Rural
8083,13.0,Rural
8085,19.2,Rural
8087,22.7,Rural
8089,14.5,Rural
